city,count,rate
Agoura Hills,17,80.31
Alhambra,19,21.91
Arcadia,13,22.81
Artesia,suppressed,suppressed
Avalon,0,0
Azusa,8,16.17
Baldwin Park,9,12.09
Bell,16,43.72
Bell Gardens,10,23.36
Bellflower,30,39.44
Beverly Hills,60,173.15
Bradbury,0,0
Burbank,61,58.27
Calabasas,16,66.16
Carson,69,73.61
Cerritos,15,30.46
Claremont,3,8.31
Commerce,0,0
Compton,31,30.71
Covina,23,34.94686467994226
Cudahy,12,48.93
Culver City,23,57
Diamond Bar,11,19.26
Downey,52,45.69
Duarte,0,0
El Monte,12,10.55
El Segundo,6,36.19
Gardena,23,37.9
Glendale,118,58.53
Glendora,11,21.06
Hawaiian Gardens,suppressed,suppressed
Hawthorne,32,36.46
Hermosa Beach,17,86.25
Hidden Hills,0,0
Huntington Park,20,33.61
Industry,0,0
Inglewood,62,53.28
Irwindale,0,0
La Canada Flintridge,11,53.68
La Habra Heights,0,0
La Mirada,13,26.28
La Puente,11,27.24
La Verne,4,12.079999999999998
Lakewood,28,35.81
Lancaster,43,27.46
Lawndale,10,29.96
Lomita,7,34.63
Lynwood,28,38.79
Malibu,8,63.15
Manhattan Beach,46,130.79
Maywood,14,49.77
Monrovia,9,24.02
Montebello,11,17.26
Monterey Park,15,24.54
Norwalk,38,36.24
Palmdale,31,19.41
Palos Verdes Estates,21,153.65
Paramount,19,33.79
Pico Rivera,27,42.15
Pomona,24,15.46
Rancho Palos Verdes,27,62.93
Redondo Beach,62,89.45
Rolling Hills,0,0
Rolling Hills Estates,7,87.55
Rosemead,6,10.9
San Dimas,7,20.58
San Fernando,8,32.7
San Gabriel,7,17.36
San Marino,5,36.99
Santa Clarita,89,40.57
Santa Fe Springs,suppressed,suppressed
Santa Monica,65,69.59
Sierra Madre,suppressed,suppressed
Signal Hill,suppressed,suppressed
South El Monte,0,0
South Gate,42,42.11
South Pasadena,9,34.7
Temple City,5,13.7
Torrance,85,57.95
Vernon,0,0
Walnut,7,23.28
West Covina,9,8.36
West Hollywood,81,226.27
Westlake Village,suppressed,suppressed
Whittier,21,23.84
Los Angeles - AGGREGATE,2361,58.52
Adams-Normandie,11,129.61
Alsace,suppressed,suppressed
Angelino Heights,0,0
Arleta,13,37.03
Atwater Village,suppressed,suppressed
Baldwin Hills,18,60.01
Bel Air,15,182.53
Beverly Crest,24,193.63
Beverlywood,16,120.11
Boyle Heights,36,41.26
Brentwood,46,147.12
Brookside,0,0
Cadillac-Corning,suppressed,suppressed
Canoga Park,29,45.53
Carthay,24,178.86
Central,20,51.14
Century City,21,173.38
Century Palms/Cove,15,44.29
Chatsworth,21,58.27
Cheviot Hills,10,107.94
Chinatown,suppressed,suppressed
Cloverdale/Cochran,10,66.64
Country Club Park,10,64.92
Crenshaw District,8,58.16
Crestview,20,174.73
Del Rey,25,85.45
Downtown,18,74.23
Eagle Rock,18,45.95
East Hollywood,16,53.71
Echo Park,8,55.76
El Sereno,16,38.33
Elysian Park,5,86.48
Elysian Valley,suppressed,suppressed
Encino,39,91.69
Exposition,0,0
Exposition Park,22,48.68
Faircrest Heights,suppressed,suppressed
Figueroa Park Square,suppressed,suppressed
Florence-Firestone,51,44.49063325790364
Glassell Park,28,89.21
Gramercy Place,7,66.9
Granada Hills,22,37.95
Green Meadows,10,46.01
Hancock Park,37,225.27
Harbor City,18,62.16
Harbor Gateway,15,34.33
Harbor Pines,0,0
Harvard Heights,9,48.92
Harvard Park,12,30.27
Highland Park,15,31.14
Historic Filipinotown,7,49.45
Hollywood,84,129.34
Hollywood Hills,37,128.14
Hyde Park,11,37.43
Jefferson Park,0,0
Koreatown,27,51.33
Lafayette Square,suppressed,suppressed
