city,count,rate
Agoura Hills,10,47.24
Alhambra,13,14.99
Arcadia,12,21.06
Artesia,suppressed,suppressed
Avalon,0,0
Azusa,7,14.15
Baldwin Park,3,4.03
Bell,12,32.79
Bell Gardens,5,11.68
Bellflower,23,30.24
Beverly Hills,39,112.55
Bradbury,0,0
Burbank,39,37.25
Calabasas,13,53.76
Carson,44,46.94
Cerritos,8,16.24
Claremont,3,8.31
Commerce,suppressed,suppressed
Compton,19,18.82
Covina,9,18.32
Cudahy,suppressed,suppressed
Culver City,17,42.13
Diamond Bar,6,10.5
Downey,37,32.51
Duarte,0,0
El Monte,6,5.28
El Segundo,suppressed,suppressed
Gardena,14,23.07
Glendale,86,42.66
Glendora,7,13.4
Hawaiian Gardens,suppressed,suppressed
Hawthorne,22,25.06
Hermosa Beach,12,60.88
Hidden Hills,0,0
Huntington Park,13,21.85
Industry,0,0
Inglewood,37,31.8
Irwindale,0,0
La Canada Flintridge,8,39.04
La Habra Heights,0,0
La Mirada,9,18.19
La Puente,6,14.86
La Verne,2,6.039999999999999
Lakewood,18,23.020000000000003
Lancaster,32,20.43
Lawndale,7,20.97
Lomita,suppressed,suppressed
Lynwood,20,27.709999999999997
Malibu,suppressed,suppressed
Manhattan Beach,41,116.57
Maywood,8,28.44
Monrovia,7,18.68
Montebello,7,10.98
Monterey Park,9,14.72
Norwalk,21,20.03
Palmdale,18,11.27
Palos Verdes Estates,15,109.75
Paramount,10,17.79
Pico Rivera,14,21.86
Pomona,13,8.38
Rancho Palos Verdes,16,37.29
Redondo Beach,50,72.13
Rolling Hills,0,0
Rolling Hills Estates,suppressed,suppressed
Rosemead,3,5.45
San Dimas,5,14.7
San Fernando,5,20.44
San Gabriel,6,14.88
San Marino,suppressed,suppressed
Santa Clarita,50,22.79
Santa Fe Springs,suppressed,suppressed
Santa Monica,53,56.74
Sierra Madre,suppressed,suppressed
Signal Hill,suppressed,suppressed
South El Monte,0,0
South Gate,25,25.07
South Pasadena,7,26.99
Temple City,1,2.74
Torrance,63,42.95
Vernon,0,0
Walnut,4,13.3
West Covina,7,6.5
West Hollywood,64,178.78
Westlake Village,suppressed,suppressed
Whittier,15,17.03
Los Angeles - AGGREGATE,1580,39.16
Adams-Normandie,8,94.26
Alsace,suppressed,suppressed
Angeles National Forest,0,0
Angelino Heights,0,0
Arleta,7,19.94
Atwater Village,suppressed,suppressed
Baldwin Hills,13,43.34
Bel Air,12,146.02
Beverly Crest,22,177.49
Beverlywood,15,112.6
Boyle Heights,15,17.19
Brentwood,39,124.73
Brookside,0,0
Cadillac-Corning,suppressed,suppressed
Canoga Park,10,15.7
Carthay,17,126.7
Central,13,33.24
Century City,17,140.36
Century Palms/Cove,11,32.48
