city,count,rate
Agoura Hills,16,75.59
Alhambra,17,19.61
Arcadia,13,22.81
Artesia,suppressed,suppressed
Avalon,0,0
Azusa,8,16.17
Baldwin Park,7,9.4
Bell,14,38.26
Bell Gardens,8,18.68
Bellflower,26,34.18
Beverly Hills,53,152.95
Bradbury,0,0
Burbank,50,47.76
Calabasas,16,66.16
Carson,63,67.21
Cerritos,11,22.34
Claremont,4,11.07
Commerce,0,0
Compton,26,25.75
Covina,17,25.828438626625648
Cudahy,10,40.77
Culver City,20,49.57
Diamond Bar,8,14
Downey,47,41.3
Duarte,0,0
El Monte,10,8.79
El Segundo,5,30.15
Gardena,20,32.96
Glendale,103,51.09
Glendora,10,19.14
Hawaiian Gardens,suppressed,suppressed
Hawthorne,30,34.18
Hermosa Beach,17,86.25
Hidden Hills,0,0
Huntington Park,16,26.89
Industry,0,0
Inglewood,55,47.27
Irwindale,0,0
La Canada Flintridge,9,43.92
La Habra Heights,0,0
La Mirada,11,22.24
La Puente,8,19.81
La Verne,2,6.039999999999999
Lakewood,24,30.690000000000005
Lancaster,38,24.26
Lawndale,10,29.96
Lomita,6,29.69
Lynwood,23,31.86
Malibu,7,55.25
Manhattan Beach,45,127.95
Maywood,10,35.55
Monrovia,8,21.35
Montebello,10,15.69
Monterey Park,12,19.63
Norwalk,30,28.61
Palmdale,27,16.91
Palos Verdes Estates,19,139.02
Paramount,17,30.24
Pico Rivera,17,26.54
Pomona,22,14.17
Rancho Palos Verdes,22,51.27
Redondo Beach,60,86.56
Rolling Hills,0,0
Rolling Hills Estates,5,62.54
Rosemead,5,9.08
San Dimas,6,17.64
San Fernando,6,24.52
San Gabriel,7,17.36
San Marino,suppressed,suppressed
Santa Clarita,78,35.56
Santa Fe Springs,suppressed,suppressed
Santa Monica,62,66.37
Sierra Madre,suppressed,suppressed
Signal Hill,suppressed,suppressed
South El Monte,0,0
South Gate,35,35.09
South Pasadena,7,26.99
Temple City,3,8.22
Torrance,76,51.81
Vernon,0,0
Walnut,6,19.96
West Covina,8,7.43
West Hollywood,73,203.92
Westlake Village,suppressed,suppressed
Whittier,16,18.17
Los Angeles - AGGREGATE,2047,50.74
Adams-Normandie,12,141.39
Alsace,suppressed,suppressed
Angelino Heights,0,0
Arleta,10,28.48
Atwater Village,suppressed,suppressed
Baldwin Hills,14,46.68
Bel Air,13,158.19
Beverly Crest,23,185.56
Beverlywood,16,120.11
Boyle Heights,28,32.09
Brentwood,44,140.72
Brookside,0,0
Cadillac-Corning,suppressed,suppressed
Canoga Park,20,31.4
Carthay,24,178.86
Central,18,46.03
Century City,19,156.87
Century Palms/Cove,13,38.39
Chatsworth,19,52.72
Cheviot Hills,10,107.94
Chinatown,suppressed,suppressed
Cloverdale/Cochran,8,53.31
Country Club Park,9,58.43
Crenshaw District,7,50.89
Crestview,20,174.73
Del Rey,22,75.19
Downtown,17,70.1
Eagle Rock,14,35.74
East Hollywood,14,47
Echo Park,8,55.76
El Sereno,12,28.75
Elysian Park,5,86.48
Elysian Valley,suppressed,suppressed
Encino,35,82.29
Exposition,0,0
Exposition Park,17,37.62
Faircrest Heights,suppressed,suppressed
Figueroa Park Square,0,0
Florence-Firestone,46,40.12510232688534
Glassell Park,22,70.1
Gramercy Place,6,57.34
Granada Hills,21,36.22
Green Meadows,9,41.41
Hancock Park,33,200.91
Harbor City,15,51.8
Harbor Gateway,13,29.75
Harbor Pines,0,0
Harvard Heights,8,43.48
Harvard Park,8,20.18
Highland Park,11,22.84
Historic Filipinotown,6,42.39
Hollywood,73,112.4
Hollywood Hills,36,124.68
Hyde Park,10,34.03
Jefferson Park,0,0
Koreatown,26,49.43
Lafayette Square,suppressed,suppressed
Lake Balboa,19,45.61
Lakeview Terrace,9,67.36
Leimert Park,12,79.43
Lincoln Heights,6,18.15
Little Armenia,9,118.89
Little Bangladesh,11,37.84
Little Tokyo,suppressed,suppressed
Longwood,suppressed,suppressed
Los Feliz,19,89.03
Manchester Square,suppressed,suppressed
Mandeville Canyon,suppressed,suppressed
Mar Vista,23,54.9
Marina Peninsula,6,136.58
Melrose,121,155.86
Mid-city,16,106.23
Miracle Mile,13,73.58
Mission Hills,8,33.37
Mt. Washington,6,25.07
North Hills,16,26.26
North Hollywood,67,44.27
Northridge,17,25.09
Pacific Palisades,25,120.75
Pacoima,16,20.02
Palisades Highlands,suppressed,suppressed
Palms,33,73.07
Panorama City,19,25
Park La Brea,6,44.17
Pico-Union,13,30.51
