city,count
Agoura Hills,1
Alhambra,4
Altadena,5
Arcadia,3
Athens,1
Baldwin Hills,3
Bellflower,3
Beverly Hills,12
Beverlywood,7
Boyle Heights,5
Brentwood,27
Burbank,2
Calabasas,3
Canoga Park,2
Carson,6
Castaic,1
Century City,4
Century Palms/Cove,1
Cerritos,2
Cloverdale/Cochran,1
Compton,1
Covina,1
Crestview,6
Culver City,5
Diamond Bar,2
Downtown,1
Duarte,1
Eagle Rock,2
Eagle Hollywood,1
East Los Angeles,2
Echo Park,2
El Segundo,1
Encino,10
Gardena,1
Glendale,9
Glendora,1
Granada Hills,5
Hancock Park,6
Hawthorne,3
Hollywood,14
Hollywood Hills,7
Inglewood,3
Koreatown,3
La Canada Flintridge,2
La Mirada,3
La Verne,2
Lake Balboa,2
Lakewood,1
Lancaster,7
Lawndale,2
Lomita,8
Lynwood,2
Manhattan Beach,9
Mar Vista,6
Melrose,19
Miracle Mile,5
Monterey Park,3
North Hollywood,9
Northridge,1
Pacific Palisades,8
Palmdale,1
Palms,2
Paramount,2
Park LaBrea,6
Playa Vista,3
Redondo Beach,5
Reseda,3
San Dimas,1
San Fernado,1
San Pedro,2
Santa Clarita,7
Santa Monica,12
Unincorporated Santa Monica Mountains,2
Sherman Oaks,8
Silverlake,4
South El Monte,1
South Gate,1
South Park,1
South Pasadena,3
South Whittier,2
Stevenson Ranch,2
Studio City,7
Sylmar,1
Tarzana,8
Temple,1
Torrance,4
Tujunga,1
University Park,1
Valley Glen,7
Van Nuys,4
Venice,7
Vermont Knolls,1
Vermont Vista,1
Vermont Central,1
Walnut,1
West Adams,1
West Covina,1
West Hills,4
West Hollywood,23
West Los Angeles,4
West Vernon,2
Westchester,3
Westlake,1
Westwood,6
Whittier,2
Wilmington,3
Wilshire Center,1
Winnetka,1
Woodland Hills,7
Under Investigation,61
Long Beach,17
Pasadena,3
Total,536
