city,count,rate
Agoura Hills,18,85.03
Alhambra,22,25.37
Arcadia,16,28.07
Artesia,suppressed,suppressed
Avalon,0,0
Azusa,13,26.27
Baldwin Park,11,14.78
Bell,22,60.12
Bell Gardens,11,25.69
Bellflower,37,48.65
Beverly Hills,65,187.58
Bradbury,0,0
Burbank,77,73.55
Calabasas,20,82.7
Carson,93,99.21
Cerritos,23,46.7
Claremont,6,16.61
Commerce,0,0
Compton,36,35.66
Covina,34,51.656877253251295
Cudahy,16,65.24
Culver City,27,66.91
Diamond Bar,13,22.76
Downey,71,62.38
Duarte,0,0
El Monte,21,18.47
El Segundo,7,42.22
Gardena,30,49.44
Glendale,142,70.43
Glendora,16,30.63
Hawaiian Gardens,suppressed,suppressed
Hawthorne,44,50.13
Hermosa Beach,18,91.32
Hidden Hills,0,0
Huntington Park,29,48.73
Industry,suppressed,suppressed
Inglewood,78,67.03
Irwindale,0,0
La Canada Flintridge,14,68.32
La Habra Heights,0,0
La Mirada,16,32.35
La Puente,13,32.2
La Verne,7,21.140000000000004
Lakewood,32,40.92
Lancaster,61,38.95
Lawndale,16,47.93
Lomita,11,54.43
Lynwood,43,59.57
Malibu,9,71.04
Manhattan Beach,48,136.48
Maywood,17,60.44
Monrovia,17,41.062776712743414
Montebello,20,31.38
Monterey Park,19,31.09
Norwalk,50,47.68
Palmdale,46,28.810000000000002
Palos Verdes Estates,25,182.92
Paramount,26,46.24
Pico Rivera,32,49.96
Pomona,30,19.33
Rancho Palos Verdes,33,76.91
Redondo Beach,67,96.66
Rolling Hills,suppressed,suppressed
Rolling Hills Estates,8,100.06
Rosemead,9,16.35
San Dimas,13,38.22
San Fernando,12,49.05
San Gabriel,11,27.29
San Marino,5,36.99
Santa Clarita,106,48.32
Santa Fe Springs,suppressed,suppressed
Santa Monica,74,79.22
Sierra Madre,suppressed,suppressed
Signal Hill,suppressed,suppressed
South El Monte,0,0
South Gate,58,58.15
South Pasadena,10,38.55
Temple City,11,30.14
Torrance,92,62.72
Vernon,0,0
Walnut,9,29.93
West Covina,15,13.93
West Hollywood,86,240.24
Westlake Village,suppressed,suppressed
Whittier,25,28.38
Los Angeles - AGGREGATE,2851,70.67
Adams-Normandie,13,153.18
Alsace,suppressed,suppressed
Angelino Heights,0,0
Arleta,17,48.42
Atwater Village,7,47.61
Baldwin Hills,21,70.01
Bel Air,18,219.03
Beverly Crest,25,201.69
Beverlywood,17,127.62
Boyle Heights,40,45.85
Brentwood,49,156.71
Brookside,0,0
Cadillac-Corning,suppressed,suppressed
Canoga Park,39,61.23
Carthay,28,208.67
Central,24,61.37
Century City,23,189.89
Century Palms/Cove,19,56.1
Chatsworth,27,74.92
Cheviot Hills,11,118.74
Chinatown,suppressed,suppressed
Cloverdale/Cochran,10,66.64
Country Club Park,14,90.89
Crenshaw District,9,65.44
Crestview,29,253.36
Del Rey,27,92.28
Downtown,21,86.6
Eagle Rock,22,56.16
East Hollywood,18,60.42
Echo Park,9,62.74
El Sereno,20,47.91
Elysian Park,5,86.48
Elysian Valley,suppressed,suppressed
Encino,41,96.4
Exposition,0,0
Exposition Park,32,70.81
Faircrest Heights,suppressed,suppressed
Figueroa Park Square,5,55.78
Florence-Firestone,65,56.70323860874888
Glassell Park,33,105.15
Gramercy Place,7,66.9
Granada Hills,29,50.02
Green Meadows,10,46.01
Hancock Park,39,237.44
Harbor City,20,69.07
Harbor Gateway,21,48.06
Harbor Pines,0,0
Harvard Heights,9,48.92
Harvard Park,19,47.92
Highland Park,21,43.6
Historic Filipinotown,9,63.58
Hollywood,100,153.98
Hollywood Hills,39,135.06
Hyde Park,14,47.64
Jefferson Park,suppressed,suppressed
Koreatown,34,64.64
Lafayette Square,5,108.08
Lake Balboa,26,62.41
Lakeview Terrace,10,74.84
Leimert Park,18,119.15
Lincoln Heights,12,36.31
Little Armenia,19,250.99
Little Bangladesh,18,61.92
Little Tokyo,suppressed,suppressed
Longwood,suppressed,suppressed
Los Feliz,19,89.03
Manchester Square,suppressed,suppressed
Mandeville Canyon,suppressed,suppressed
Mar Vista,26,62.07
Marina Peninsula,7,159.34
Melrose,147,189.35
Mid-city,22,146.06
Miracle Mile,17,96.22
Mission Hills,12,50.05
